5, 1.3333
7, 1.5015
9, 1.3333
12, 1.5015
16, 0.6680
17, 1.3187
19, 1.3333
20, 0.7500
21, 0.6720
23, 0.6680
24, 1.4925
26, 1.5015
30, 1.3333
32, 1.7794
33, 1.3661
34, 0.7200
35, 1.3333
36, 0.6640
39, 1.3333
41, 1.5015
42, 1.4925
44, 1.5015
46, 0.6640
47, 1.5015
48, 0.7500
50, 1.3333
51, 1.3333
52, 1.5015
60, 1.4970
61, 1.5015
63, 1.3333
64, 0.9920
65, 1.4925
66, 1.3333
72, 0.6660
73, 0.7500
77, 1.5015
78, 1.1933
81, 1.5015
83, 1.5015
89, 1.3369
91, 1.3333
93, 1.4749
95, 1.5480
99, 1.3333
101, 1.5015
102, 1.3333
104, 1.5015
107, 1.3333
109, 1.9685
110, 1.3333
112, 0.6660
113, 1.5060
117, 1.5015
118, 1.3333
120, 1.2500
121, 1.3333
122, 0.9896
123, 1.3333
125, 1.3333
129, 0.6680
130, 1.3333
131, 1.5015
132, 1.1876
133, 0.8940
134, 1.3477
138, 1.5060
140, 1.2469
141, 1.1820
